name,lat,lon
강남구,37.494569,127.0612573
강동구,37.550764, 127.150355
강북구,37.640000, 127.010000
강서구,37.562098, 126.821692
관악구,37.467340, 126.945619
광진구,37.545858, 127.086213
구로구,37.491931, 126.857181
금천구,37.460938, 126.903154
노원구,37.652967, 127.080402
도봉구,37.673701, 127.031760
동대문구,37.582210, 127.055530
동작구,37.504173, 126.951243
마포구,37.559943, 126.905551
서대문구,37.578681, 126.939779
서초구,37.468376, 127.034797
성동구,37.550599, 127.039693
성북구,37.602309, 127.016994
송파구,37.506082, 127.115493
양천구,37.520620, 126.855020
영등포구,37.522871, 126.910579
용산구,37.529971, 126.979422
은평구,37.619665, 126.925601
종로구,37.590553, 126.973623
중구,37.559166, 126.994852
중랑구,37.598309, 127.095019
